Nome;CNPJ;UF;CNAE Principal;CNAE Sec;Telefone;Email
IMPORTASE PRESENTES ATACADAO;08960131000122;SE;4772500;4713002,4759899,4763601,4774100,4789003;(32) 146345;
DISTRIBUIDORA ECOAR;09154145000111;SP;4772500;4649408;(11) 11111111;ELIZABETH@ECOARPRODUTOSDELIMPEZA.COM.BR
;15603390000161;SP;4772500;4781400;(00) 00000000;JOSEFAMNASCIMENTO2009@HOTMAIL.COM
;15649915000108;SP;4772500;4930201;(11) 00000000;PIRESCARLOS236@GMAIL.COM
;19205096000152;MG;4772500;4721104;(37) 00000000;ROGERIORIBEIROCORRETOR@GMAIL.COM
;21076227000190;RJ;4772500;4763601,4781400,4789099,4757100,4752100,4785799,4782201,4763602,4753900,4713002,4762800,4789007,4789008,4751201;(0) 0;
;21659020000149;SP;4772500;9602501;(00) 00000000;MICHAELSILVA9969@GMAIL.COM
PILI SIGLO XXI;22699765000102;EX;4772500;;;RENATO.AMORIM@PLKLOG.COM.BR
PEDRO FREITAS MMN;23655045000108;PE;4772500;4771701,4781400,6810202;(81) 11111111;pedro-freitas28@live.com
;26807474000133;SP;4772500;;(00) 00000000;LOSPLENDOREOFC@GMAIL.COM
;27095498000170;RJ;4772500;1359600;(21) 00000000;FLORATUA@FLORA.COM
CURADEN;27214269000127;EX;4772500;;;
;27290897000191;RJ;4772500;;(21) 00000000;ROMULLOCAL@HOTMAIL.COM
;27783632000125;SP;4772500;4723700,4712100,4713002;(14) 00000000;KPAULA706@GMAIL.COM
;27988866000109;SP;4772500;4781400;(11) 00000000;OLIVEIRA.MELI@YAHOO.COM
MS PERFUMES;28033127000126;SP;4772500;7319002;(11) 11112222;EMAIL@EMAIL.COM
;29325924000140;RJ;4772500;;(21) 0;
;29545238000184;SP;4772500;7420004,9602501,5912099,4321500,4789008,5229099,9602502,4930201,4782201,5320201;(11) 00000000;HUGO_HF.SL@HOTMAIL.COM
;30066456000115;AM;4772500;4783101,4781400,9602502;(92) 0;neila_pimentel@hotmail.com
SUPREMA PERFUMARIA E COSMETICOS;30425580000120;SP;4772500;;(11) 11643475;SUPREMAVARIEDADES@GMAIL.COM
;30446648000157;MG;4772500;4755503;(0) 0;ROSILENE12@GMAIL.COM
;30583472000185;CE;4772500;;(0) 0;
;30693581000155;SC;4772500;4723700,4930204,4753900,4782201;(49) 00000000;STYLLO.M.D@GMAIL.COM
MONICA;30708293000127;SP;4646001;4641903,4755502,4763601,4772500,4789001;(11) 11111111;KEVINYAO333@GMAIL.COM
;31915949000145;SP;4772500;3299099;(11) 12746563;elianabuccini@gmail.com
;31921203000144;PA;4772500;;(0) 0;NAZARENOJN@YAHOO.COM.BR
LETICIA FIGUEREDO MAKEUP STORE;32272869000181;MG;4772500;;(34) 00000000;LETICIAFIGUEREDO15@GMAIL.COM
;32340430000149;ES;4772500;4781400;(27) 0;
;32448588000137;RJ;4772500;4781400,5611201;(22) 00000000;
;32473433000150;SP;4772500;8599605,8599604,9602502;(11) 00000000;CONTATO@CLINICABIOVITA.COM.BR
;32556281000150;RS;4772500;7912100,4789001,4781400,3212400,4789002,4782201,2330399,3299099;(0) 0;patriciavieira.rs@hotmail.com
;32596890000132;SP;4772500;4781400,9602502;(11) 00000000;PEREIRA.PALOMA@GMAIL.COM
;29872626000170;RJ;4772500;5212500,4781400,5229099,4929902,4929901;(00) 00000000;ADRIANATIVO@HOTMAIL.COM
;33302588000197;SP;4772500;4789003,4789099,4789001,4754703,3299006,3299099;(11) 00000000;ANDREA@CLICKBRASIL.COM
;33544203000106;RJ;4772500;4742300,4752100,4729699,4755502,4755503,4763601,4754703,4753900,4744001,4744099;(21) 00000000;RESTAURANTEVITORIAPENEDO@GMAIL.COM
;33666327000156;SP;4772500;;(00) 00000000;LOJINHADAMAIZA@HOTMAIL.COM
;33790449000150;MG;4772500;7319002,4755502,4763601,4783102,4783101;(31) 00000000;CABOFERNANDOBOMBEIRO@YAHOO.COM.BR
;33808092000190;ES;4772500;;(0) 0;rosemaclim78@gmail.com
;32290986000178;SP;4772500;;(11) 17888272;LIZSILVA.CT@GMAIL.COM
;34840905000191;SP;4772500;;(11) 11111111;cida.gaby@hotmail.com
;35339169000155;RJ;4772500;;(21) 00000000;MARY0021LINDA@GMAIL.COM
;36223314000109;CE;4772500;;(85) 0;EMILIATABOSADASILVA84@GMAIL.COM
;36829999000123;SE;4772500;4755503,4783101;(0) 0;ANTHONYSILVEIRA92@GMAIL.COM
;36882345000163;MG;4772500;;(32) 0;DIVINESIACONTABIL@YAHOO.COM.BR
;37431857000176;SP;4772500;;(17) 0;
;36348457000139;ES;4772500;9602501;(0) 0;BRUNOBARBEROFICIAL@GMAIL.COM
;35855344000167;SP;4646001;4646002,4689399;(11) 11111111;NET@NET.COM
;39720397000121;RJ;4772500;4781400;(21) 0;VERONICASCDEPAULA@GMAIL.COM
;40354981000190;RS;4772500;4781400,4789001;(55) 11111111;KEVINSHOPEMPRESA@GMAIL.COM
;40397491000170;ES;4772500;4781400;(27) 0;JACKELEGOLDNER@HOTMAIL.COM
;40418182000130;CE;4772500;4781400;(85) 11111111;JAQUELINESANTOSMM74@GMAIL.COM
;40484112000180;SP;4772500;;(0) 0;SANTANA2242@TERRA.COM.BR
;40609412000148;SP;4772500;9602501;(11) 00000000;ROBSON.ANDRADE20171234@GMAIL.COM
JFMIX LOJA ONLINE;41101655000133;SP;4772500;4530703,4744099,4751201,4752100,4753900,4754703,4755502,4756300,4757100,4761003,4763601,4763602,4763603,4763604,4773300,4781400,4782202,4789007,4789099,8599604;(11) 10424044;JFMIX.LOJAONLINE@GMAIL.COM
PURA BELEZA;41152343000159;SP;4772500;4649499,4713002,4781400,4782201,4789001,4789099,8211300;(0) 0;CRISROSA05@GMAIL.COM
;41230768000139;RN;4772500;4789099;(84) 0;VANESSADS00@YAHOO.COM.BR
;41233430000130;RJ;4772500;;(0) 0;MARIACORCI43@GMAIL.COM
VAJANI FMCG;35769395000176;EX;4772500;;;FERNANDO@PENADEOURO.COM.BR
;42078406000137;SP;4772500;;(19) 19912323;FERMOREIRA9800@GMAIL.COM
;42149122000194;RJ;4772500;4751201,4729699,4755502,4755503,4753900,4789005;(21) 0;RONNIWAGNER@GMAIL.COM
;33569196000199;SP;4772500;7420001;(11) 14056483;CAROLESTEVES63@HOTMAIL.COM
;42372210000150;RJ;4772500;4789099,4789001,4774100,4781400,4762800,4755502,4763602,4755503,4763601,4789008,4782201,4783102,4783101;(0) 0;NILDA-9818@HOTMAIL.COM
;42421675000154;SP;4772500;4781400,4789001;(19) 00000000;LUMARCOSMETICOSCAMPINAS@GMAIL.COM
;42668557000145;RJ;4772500;4789002,4789099,4789001,4723700,4712100,4721102,1091102,5611201,5611205,5620104,4781400,5612100,4755503;(21) 0;SOLANGEBARROSAMORIM@YAHOO.COM.BR
CLICK BELEZA;42671284000198;SP;4772500;4713004,9602501;(11) 12442705;M3MANABE@GMAIL.COM
;42876705000117;RJ;4772500;4781400;(0) 0;NEUSAMARIAMIGUELLL@GMAIL.COM
;42920519000138;SP;4772500;;(11) 00000000;HUDSON.PATRICK.C@GMAIL.COM
MULTIMIX ATACADO E DISTRIBUICAO DE PRODUTOS;42932367000193;SP;4772500;4679699,4753900,4755503,4757100,4761003,4763602,4773300,4781400,4789001;(11) 13612485;MULTIMIXATACADOSP@GMAIL.COM
;43263478000117;SE;4772500;;(79) 0;GECON2009@HOTMAIL.COM
TEM TUDO IMPORT;43532033000195;RJ;4772500;4759899;(21) 11111111;JC95395607@GMAIL.COM
;33213718000115;RJ;4772500;4729699,4789005;(00) 00000000;JORGEANEGTMELO@GMAIL.COM
;43661071000148;SP;4772500;9602501,4755502;(00) 00000000;RITACASSIA0827@GMAIL.COM
;04177443000880;ES;4646001;4618401,4646002,4649408,4759899,4772500,6463800;(11) 11111111;A@GMAIL.COM
CLUBE NATURAL;36654683000148;SP;4772500;4639701,4646001,4646002,4649408,4789005;(11) 11111111;ADMINISTRATIVO@CLUBENATURAL.SHOP
MARQUES BEAUTY;29841920000114;SP;4772500;4729601;(11) 15466843;JAMARQUES2025@GMAIL.COM
;43904146000174;RJ;4772500;4781400;(0) 0;GRACAECARLOS2008@GMAIL.COM
;43996878000131;SP;4772500;4789002,4789099,4789001,4752100,4541206,4781400,4751201,4755502,4763602,4763601,4753900,4744002,4744001,4789004;(0) 0;AISSACCARDOSO@GMAIL.COM
GE COSMETICOS;34987157000336;SP;4772500;;(11) 11111111;TI@GEBEAUTY.COM.BR
;44805220000168;MG;4772500;4789099,1091102,4782201;(31) 0;ROZILENEFERNANDESILVA@YAHOO.COM.BR
;44918661000176;MG;4772500;;(0) 0;FILIPE_BMX_@OUTLOOK.COM
;45059824000175;SP;4772500;4646001,4649499,4759899,4789001,4789099;(11) 12230345;NICOLAS.D.KINJO@GMAIL.COM
;45151526000100;SP;4772500;4723700,4744001,4751201,4753900,4754703,4755503,4756300,4761003,4763603,4773300,4781400,4789001,4789099;(11) 02936050;DENISEFB1991@GMAIL.COM
KM MAKES;45218874000158;PE;4772500;1411802,1412603,4781400,4782201;(0) 0;KELLYMARIA9292@GMAIL.COM
;45709982000123;SP;4772500;;(11) 00000000;MARIA.APNET@GMAIL.COM
;45858383000171;SP;4772500;;(19) 0;VALOFFSET@HOTMAIL.COM
;45882431000167;SP;4772500;5620104,4781400,4723700,1091102,4785799;(00) 00000000;CONTATO@MUNDODOTAMANDUA.COM.BR
;46152240000102;SP;4772500;;(15) 0;CAPITANIMARIA59@GMAIL.COM
SAM & LM;46200718000122;DF;4772500;4781400;(61) 18240099;RSCONTABILIDADE2308@GMAIL.COM
LANAKI;46411612000178;SC;4772500;4781400,4782201,4789001,4789099,6203100,6311900,6319400,7020400,7490199,8599604;(11) 19443535;SAC@LANAKI.COM.BR
;47034185000119;SP;4772500;4742300,4789099,4781400,4763604,4759801,4754702,4755502,4755503,4754703,4789007,4782201,4783102;(17) 0;BEATRIZAPCONDE@HOTMAIL.COM
;47279263000145;SP;4772500;;(00) 00000000;WANDOFLIMA3@GMAIL.COM
YESHUA COSMETICOS;47344413000157;SP;4772500;4669999,4761003,4781400;(11) 13475342;CONTATO@YESHUACOSMETICOS.COM.BR
CANTINHO DAS MENINAS;47406411000145;SP;4772500;4757100,4761003,4763603,4781400;(11) 16448217;CANTINHODASMENINASLTDA@GMAIL.COM
;47581310000100;SP;4772500;;(11) 11987919;MARCELAVIANA07@HOTMAIL.COM
;47857393000118;SP;4772500;4781400,4729699;(11) 16217090;NINO_ESCOLHIDOSOUL@HOTMAIL.COM
;47928587000167;SP;4772500;9521500,3314707;(11) 12037525;WALKOVERCORPORATION@GMAIL.COM
;47939899000176;PA;4772500;;(91) 0;MILENACRISTINQ3@GMAIL.COM
;47951960000109;RO;4772500;4789005;(69) 0;ALINEELLERLACERDA@GMAIL.COM
;48062502000173;PB;4772500;;(83) 0;JOAOBATISTAFLORDELIRA@GMAIL.COM
;48277084000131;RJ;4772500;4781400;(21) 00000000;GLEYCE380@GMAIL.COM
;48331203000197;ES;4772500;5620104,1091102;(0) 0;ANDRESSABRENOBRUNO@GMAIL.COM
;48378977000173;SP;4772500;;(11) 0;ANAPAULASSC@HOTMAIL.COM
;48469976000134;CE;4772500;;(0) 0;CS3742380@GMAIL.COM
;49013235000107;SP;4772500;;(11) 14589232;RENATA2FERNANDA96@GMAIL.COM
;49265404000104;SP;4772500;5611201;(11) 00000000;DANRLEY.GUSTAVO@HOTMAIL.COM
;49273263000163;SP;4772500;;(0) 0;EDILAINE.NUNES@YAHOO.COM.BR
;49360863000169;CE;4772500;1412601,1422300;(0) 0;MARIASUELI19@LIVE.COM
;49449873000175;ES;4772500;4781400,4789001,4729699,8593700,9602502,4782201;(27) 0;GIRLENE.BELARMINO@GMAIL.COM
;49458816000152;RJ;4772500;;(21) 0;MARILENEBARROSMESSIAS@GMAIL.COM
